rec_id,given_name,surname,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
rec-1496-org,mitchell,green,wallaby place,delmar,cleveland,2119,sa,19560409.0,1804974
rec-1213-org,taylor,hathaway,yuranigh court,brentwood vlge,,4220,nsw,19991207.0,9144092
rec-193-org,toby,webb,kent street,kersey' south,towradgi,3107,nsw,19940503.0,1232838
rec-729-org,andrew,klander,newman morris circuit,the willows,homebush,2285,vic,19761017.0,5392569
rec-1688-org,kasey,millar,burdekin avenue,crown allot,woollahra,4217,qld,19930714.0,7442486
rec-462-org,jacqueline,daykin,mackie crescent,logan central plaza,pottsville beach,2213,qld,19510605.0,1615186
rec-1626-org,amelia,benger,macalister crescent,,sippy downs,4110,nsw,19420909.0,8671640
rec-1224-org,lily,thorpe,rivett place,thurlgona,mount gravatt,6104,wa,19310318.0,9216585
rec-1723-org,joshua,linnell,lambrigg street,craigie lea garden,balwyn north,3185,qld,19480511.0,7096343
rec-182-org,sophie,grubb,furphy place,mid city centre,cottles bridge,5091,qld,19230322.0,3779522
rec-1781-org,john,slywka,gowrie court,boxwood vale,north ward,6014,tas,19590803.0,5011995
rec-1614-org,alexandra,robson,brunswick circuit,keith payne hstl,mount sophia,5024,nsw,19470726.0,5974014
rec-885-org,stella,chandler,ebden street,rosetta village,coffs harbour,6304,vic,19741215.0,8164610
rec-208-org,lauren,bradshaw,ashcroft crescent,upa cottages,stirling north,2198,vic,19301022.0,1926163
rec-799-org,sophie,nicolle,garling street,spring creek,kotara,4740,nt,19111001.0,7492384
rec-1128-org,jack,stubbs,heard street,summerset,st agnes,5344,qld,19890526.0,1690126
rec-1992-org,laura,ryan,officer crescent,craigie-lea,orange,2289,vic,19120402.0,4198979
rec-501-org,mikhayla,campbell,baynton street,st francis vlge,notting hill,4350,qld,19280711.0,9484120
rec-408-org,riley,gloster,farrer place,,frankston,3178,nsw,19590124.0,2526809
rec-929-org,corey,condo,andamooka street,coolinda,hillston,2026,nsw,19900616.0,4204990
rec-1489-org,emiily,berry,tenison-woods circuit,,ashfield,6169,nsw,19780527.0,6459366
rec-15-org,liam,tuttleby,verco street,rose-lea,trevallyn,2259,qld,19080101.0,4376020
rec-1355-org,melissa,lanzotti,balfour crescent,killara lodge,cranbourne,2064,vic,19810828.0,7433231
rec-305-org,aleisha,mcelwee,osburn drive,parraweena,condell park,5237,act,19440525.0,2532051
rec-152-org,amber,blackwell,thomson street,,salisbury,3188,nsw,19860325.0,5701396
rec-717-org,jamie,van galen,callister crescent,mowbray,hackham,3060,nsw,19720909.0,3179404
rec-618-org,isabella,hendricks,colborne place,dog rock shopping centre,north ryde,2000,nsw,19770129.0,9899655
rec-1509-org,lucas,benger,cunningham street,padicam,melton south,2232,nsw,19851030.0,5458466
rec-1368-org,harrison,doman,harry hopman circuit,moline village,toowong,2088,sa,19570519.0,1542335
rec-794-org,sarah,behnke,pearson street,broombie stud,ramornie,2209,vic,19930910.0,8625215
rec-568-org,tate,hingston,oxley street,wylarah,kurri kurri,5045,nsw,19680521.0,1954716
rec-1333-org,charlotte,bovill,vickery street,cashbar,scarborough,3911,vic,19730412.0,5083623
rec-368-org,emma,matthews,vanzetti crescent,sunny brees,moorabbin,5158,qld,19910426.0,1091439
rec-666-org,sophie,nguyen,namoi place,,mount colah,2550,nsw,19701117.0,2122377
rec-1878-org,blade,stingle,earle place,upper warrell,kellyville,5046,,19220925.0,6748586
rec-1794-org,harrison,matthiessen,harbison crescent,oakdale,port kembla,2619,wa,19580430.0,4684373
rec-1685-org,jayden,liberts,odern place,peppertree,corryong,2614,qld,19341218.0,5242447
rec-1706-org,ashleigh,quilliam,bedford street,rosall,surrey hills,6525,nsw,19460730.0,6408479
rec-1953-org,joel,ryan,lance hill avenue,cameroo,forest hill,3070,nsw,19720615.0,7563426
rec-115-org,danjel,vincent,forbes street,villa 3,toukley,3178,qld,19510703.0,8506548
rec-1068-org,jasper,jennion,fitzhardinge crescent,lords house,glenside,4034,nsw,19720414.0,5825359
rec-224-org,sophie,laundy,la perouse street,k mart plaza,eight mile plains,3981,vic,19021029.0,8888208
rec-1511-org,ayla,benjamin,bradfield street,concept,tatura,2030,wa,,4452328
